Month,City,Merchant,Total_Sales,No_of_sales
Apr 2017,1,Kathie Sughrue inc,"66,400,606","3,301"
Apr 2017,1,Cesar Hall inc,"61,904,426","3,065"
Apr 2017,1,Mary Gray 7 inc,"36,350,378","1,818"
Apr 2017,1,Steven Russell inc,"22,558,267","1,133"
Apr 2017,1,Maxine Flores inc,"18,910,551",933
Apr 2017,2,Mark Cipolla inc,"307,498",14
Apr 2017,2,Vincent William inc,"226,061",11
Apr 2017,2,Charles Budde inc,"218,288",11
Apr 2017,2,Arthur Walz inc,"183,174",8
Apr 2017,2,Cristal Forney inc,"180,314",9
Apr 2017,3,Dennis Mcmillan inc,"662,670",36
Apr 2017,3,Rhonda Cunningham inc,"635,067",32
Apr 2017,3,Karen Roane inc,"439,485",23
Apr 2017,3,Solomon Deshayes inc,"341,903",17
Apr 2017,3,Phyllis Hall 3 inc,"299,859",15
Apr 2017,4,Louise Cole 2 inc,"2,192,923",105
Apr 2017,4,Nathaniel Stewart inc,"1,709,562",89
Apr 2017,4,Enriqueta Barbour inc,"1,582,884",76
Apr 2017,4,Carolyn Smith 8 inc,"1,515,094",76
Apr 2017,4,Juan Niemi inc,"1,459,085",74
Apr 2017,6,Terrell Dueno inc,"314,046",17
Apr 2017,6,Pedro Hill 2 inc,"302,594",14
Apr 2017,6,Robert Reper inc,"271,999",13
Apr 2017,6,Ross Underhill inc,"261,743",13
Apr 2017,6,Guillermo Angelilli inc,"252,877",12
Apr 2017,7,Louis Nielsen inc,"426,425",19
Apr 2017,7,Sheila Bissonnette inc,"288,842",12
Apr 2017,7,Don Lenz inc,"284,615",11
Apr 2017,7,Armand Humphrey inc,"272,416",12
Apr 2017,7,Mark Brewster inc,"252,860",12
Apr 2017,8,Carlotta Schell inc,"985,857",44
Apr 2017,8,Charlene Richter inc,"942,138",49
Apr 2017,8,Mike Sparks inc,"814,288",40
Apr 2017,8,Larry Stegall 2 inc,"801,024",39
Apr 2017,8,Sandra Crocker inc,"606,144",32
Apr 2017,9,Rachael Oehler inc,"384,868",18
Apr 2017,9,Scott Brown 6 inc,"307,373",16
Apr 2017,9,Daniel Pouliot inc,"279,683",13
Apr 2017,9,Walter Grillo inc,"267,906",12
Apr 2017,9,Barbara Bishop inc,"250,797",12
Apr 2017,10,Roger Murach inc,"604,335",28
Apr 2017,10,Kristin Victoria inc,"519,563",25
Apr 2017,10,Socorro Stevens inc,"375,563",22
Apr 2017,10,Iris Key inc,"368,976",19
Apr 2017,10,Daisy Ball inc,"300,851",16
Apr 2017,11,Paula Crumb inc,"1,310,332",71
Apr 2017,11,Kenneth Ramos inc,"989,426",48
Apr 2017,11,Matthew Verhoeven inc,"745,253",36
Apr 2017,11,Linda Hogan 2 inc,"736,077",38
Apr 2017,11,Rafael Tarr inc,"430,963",19
Apr 2017,12,Joe Cleghorn inc,"1,360,187",67
Apr 2017,12,Delbert Sherlock inc,"824,411",40
Apr 2017,12,Catherine Martin 7 inc,"563,191",31
Apr 2017,12,Emily Jiggetts inc,"545,033",29
Apr 2017,12,Robyn Douglas inc,"543,898",28
Apr 2017,13,Carol Green inc,"488,946",28
Apr 2017,13,Gary Koehler inc,"400,707",23
Apr 2017,13,Mark Bunn inc,"381,646",17
Apr 2017,13,Larry Brooks 2 inc,"256,700",11
Apr 2017,13,Natalie Durate inc,"242,326",13
Apr 2017,14,Cynthia Wood 2 inc,"936,402",51
Apr 2017,14,Stanley Summerville inc,"700,946",36
Apr 2017,14,John Bielinski inc,"681,474",32
Apr 2017,14,Alex Richardson inc,"513,514",26
Apr 2017,14,James Mayoka inc,"462,849",22
Apr 2017,16,Cheryl Croom inc,"196,332",11
Apr 2017,16,Ernie Shorb inc,"168,715",7
Apr 2017,16,Melvin Holbrook inc,"148,782",6
Apr 2017,16,Veronica Wroblewski inc,"145,981",7
Apr 2017,16,Angie Eason inc,"105,205",5
Apr 2017,17,Sharonda Jordan inc,"11,546,605",574
Apr 2017,17,Beatrice Pears inc,"9,313,451",454
Apr 2017,17,Nick Curtis inc,"6,837,563",342
Apr 2017,17,Samuel Scott 3 inc,"4,997,406",261
Apr 2017,17,Virgil Lemon inc,"4,906,611",242
Apr 2017,18,Ruth Fuentes inc,"369,075",18
Apr 2017,18,Margaret Diaz 3 inc,"131,489",8
Apr 2017,18,Susan Rhodes inc,"94,067",3
Apr 2017,18,Kenneth Patrick 2 inc,"69,736",3
