merchant_id,total_sales,top_city,top_city_sales,merchant_top_category,merchant_category_sales,city_dominant_category,city_category_sales,correlation
M_ID_00a6ca8a8a,"279,377",69,"264,587",A,"165,899",A,"648,756",YES - Same category
M_ID_e5374dabc0,"106,946",1,"106,941",B,"106,735",B,"447,750",YES - Same category
M_ID_9139332ccc,"90,106",1,"82,128",B,"47,291",B,"447,750",YES - Same category
M_ID_50f575c681,"45,912",69,"45,912",A,"23,839",A,"648,756",YES - Same category
M_ID_fc7d7969c3,"44,075",1,"44,075",B,"44,063",B,"447,750",YES - Same category
M_ID_5ba019a379,"42,506",69,"42,330",A,"26,925",A,"648,756",YES - Same category
M_ID_f86439cec0,"27,524",69,"27,323",A,"13,965",A,"648,756",YES - Same category
M_ID_1f4773aa76,"26,594",69,"26,594",A,"13,754",A,"648,756",YES - Same category
M_ID_86be58d7e0,"24,320",1,"23,136",B,"23,824",B,"447,750",YES - Same category
M_ID_98b342c0e3,"23,200",19,"10,186",A,"15,142",A,"168,630",YES - Same category
M_ID_d855771cd9,"21,242",19,"11,510",A,"12,220",A,"168,630",YES - Same category
M_ID_6f274b9340,"20,200",1,"20,071",B,"20,183",B,"447,750",YES - Same category
M_ID_cd2c0b07e9,"19,873",69,"19,873",A,"9,568",A,"648,756",YES - Same category
M_ID_57df19bf28,"19,101",1,"18,452",B,"18,819",B,"447,750",YES - Same category
M_ID_b9dcf28cb9,"18,689",1,"18,625",B,"17,646",B,"447,750",YES - Same category
M_ID_b98db225f5,"17,588",19,"11,357",A,"11,583",A,"168,630",YES - Same category
M_ID_445742726b,"17,012",1,"16,455",B,"16,677",B,"447,750",YES - Same category
M_ID_2637773dd2,"16,637",69,"16,492",A,"9,910",A,"648,756",YES - Same category
M_ID_82a30d9203,"16,583",69,"16,530",A,"11,313",A,"648,756",YES - Same category
