City,Revenue,Transactions,Avg_Ticket,Top_Category,Top_Category_Transactions,Top_Category_Revenue
69,"24,268,306,863","1,207,966","20,090",A,"648,756","13,029,712,618"
1,"12,984,064,000","645,719","20,108",B,"447,750","9,001,142,649"
19,"5,797,239,503","287,854","20,140",A,"168,630","3,394,457,281"
158,"5,601,443,763","278,662","20,101",A,"150,625","3,029,273,040"
17,"4,875,605,420","242,567","20,100",A,"144,476","2,898,427,503"
331,"3,606,856,150","179,170","20,131",A,"101,275","2,038,882,309"
143,"3,360,325,910","166,933","20,130",A,"81,674","1,645,037,883"
88,"3,312,092,166","164,747","20,104",A,"95,781","1,925,224,321"
137,"3,030,124,154","150,734","20,102",A,"86,722","1,744,709,867"
333,"2,809,135,173","139,677","20,112",A,"80,862","1,627,071,096"
87,"2,222,297,035","110,704","20,074",A,"58,184","1,167,401,482"
212,"2,027,076,378","100,958","20,078",B,"48,379","969,449,338"
57,"1,920,089,064","95,349","20,137",A,"55,293","1,113,093,589"
149,"1,804,481,080","89,795","20,096",A,"52,156","1,050,199,653"
25,"1,791,877,811","89,196","20,089",B,"41,720","838,367,941"
233,"1,786,340,124","88,915","20,090",A,"49,712","998,345,742"
117,"1,619,490,461","80,513","20,115",A,"53,487","1,075,606,526"
160,"1,596,105,197","79,435","20,093",A,"38,482","774,636,100"
213,"1,239,599,933","61,813","20,054",A,"35,211","706,490,978"
277,"1,239,444,382","61,612","20,117",A,"44,562","897,642,208"
286,"1,160,173,291","57,839","20,059",A,"32,415","650,955,842"
76,"1,086,256,505","53,996","20,117",A,"44,298","891,768,897"
4,"1,062,863,797","52,955","20,071",A,"30,797","618,595,611"
107,"1,062,618,614","52,738","20,149",A,"29,490","594,937,667"
53,"1,047,594,828","52,216","20,063",A,"30,082","602,589,447"
20,"1,043,634,077","51,966","20,083",A,"28,179","565,969,372"
291,"1,014,047,824","50,283","20,167",A,"27,758","560,993,657"
140,"958,016,763","47,652","20,104",A,"25,971","520,651,368"
344,"892,284,929","44,494","20,054",A,"29,543","593,616,962"
161,"845,649,944","42,161","20,058",A,"28,180","565,487,613"
51,"824,638,068","41,034","20,096",A,"22,243","445,991,255"
283,"820,275,093","40,756","20,126",A,"24,411","492,172,199"
322,"776,814,910","38,700","20,073",A,"19,435","390,279,026"
21,"750,152,225","37,373","20,072",A,"23,552","472,327,332"
179,"697,836,611","34,729","20,094",A,"22,509","451,665,187"
246,"697,372,558","34,794","20,043",A,"24,944","500,285,559"
200,"691,262,887","34,389","20,101",A,"28,426","571,171,162"
231,"689,879,725","34,370","20,072",B,"19,405","388,658,819"
244,"671,793,889","33,297","20,176",A,"24,528","494,397,026"
138,"668,184,507","33,190","20,132",A,"17,791","359,559,163"
169,"667,067,276","33,066","20,174",A,"19,952","403,523,639"
289,"662,180,603","32,950","20,097",A,"15,710","315,915,103"
116,"644,984,469","32,073","20,110",A,"18,644","375,369,529"
340,"624,783,509","31,039","20,129",A,"17,604","353,151,509"
251,"598,016,037","29,800","20,068",A,"16,777","335,701,265"
60,"595,642,629","29,698","20,057",A,"19,327","386,626,558"
248,"590,838,080","29,446","20,065",A,"15,408","310,123,430"
96,"559,158,906","27,789","20,122",A,"15,284","307,481,676"
302,"539,509,474","26,750","20,169",A,"12,724","257,154,569"
274,"534,448,919","26,570","20,115",A,"17,048","341,807,687"
199,"510,247,928","25,379","20,105",A,"14,883","299,110,455"
