Hour,Revenue,Transactions,Avg_Ticket
0,"6,392,509,933","318,339","20,081"
1,"1,515,207,297","75,255","20,134"
2,"1,041,067,222","51,818","20,091"
3,"673,628,579","33,635","20,028"
4,"490,604,010","24,447","20,068"
5,"633,162,509","31,645","20,008"
6,"1,158,091,972","57,505","20,139"
7,"2,238,506,667","111,457","20,084"
8,"3,897,137,596","194,173","20,070"
9,"5,702,575,502","283,897","20,087"
10,"7,570,290,335","376,645","20,099"
11,"9,208,795,877","457,556","20,126"
12,"10,644,173,342","529,530","20,101"
13,"10,742,007,854","534,664","20,091"
14,"10,261,081,049","510,228","20,111"
15,"10,324,386,166","513,866","20,092"
16,"10,242,825,278","509,431","20,106"
17,"10,213,350,558","507,854","20,111"
18,"9,921,049,267","493,173","20,117"
19,"9,204,647,341","458,217","20,088"
20,"8,305,002,684","412,723","20,122"
21,"6,981,694,033","347,377","20,098"
22,"5,210,861,309","259,448","20,084"
23,"3,655,415,241","181,484","20,142"
