Month,Revenue,Transactions,Avg_Ticket
Apr 2017,"7,237,501,434","359,652","20,124"
Aug 2017,"11,089,602,266","551,456","20,110"
Dec 2017,"17,130,706,683","852,200","20,102"
Feb 2017,"6,056,312,180","301,173","20,109"
Feb 2018,"12,195,776,048","607,115","20,088"
Jan 2017,"5,758,512,830","286,643","20,089"
Jan 2018,"14,340,910,059","713,701","20,094"
Jul 2017,"10,129,807,340","503,313","20,126"
Jun 2017,"8,415,805,531","418,707","20,100"
Mar 2017,"7,300,373,380","363,030","20,110"
May 2017,"7,734,824,560","384,926","20,094"
Nov 2017,"14,190,873,327","706,032","20,099"
Oct 2017,"12,607,775,660","627,410","20,095"
Sep 2017,"12,039,290,320","599,009","20,099"
